NAME,POPULATION,COUNTY,LATITUDE,LONGITUDE,Median_Household_Income,C Section Rooms
ALAMANCE REGIONAL MEDICAL CENTER,238,ALAMANCE,36.06120389,-79.50224357,55795,2
ALLEGHANY MEMORIAL HOSPITAL,41,ALLEGHANY,36.50952105,-81.11461101,78158,5
ATRIUM HEALTH- ANSON,15,ANSON,34.97772188,-80.11008562,94343,2
"ASHE MEMORIAL HOSPITAL, INC.",76,ASHE,36.42330853,-81.45752318,84732,1
"CHARLES A. CANNON, JR. MEMORIAL HOSPITAL",50,AVERY,36.06031792,-81.88935711,51284,5
VIDANT BEAUFORT HOSPITAL,142,BEAUFORT,35.54922191,-77.03783805,94886,1
STRATEGIC BEHAVIORAL CENTER LELAND,112,BEAUFORT,34.26075781,-78.06371371,94886,1
VIDANT BERTIE HOSPITAL,6,BERTIE,35.98864755,-76.92824949,46265,5
CAPE FEAR VALLEY - BLADEN COUNTY HOSPITAL,58,BLADEN,34.62243393,-78.60800449,56850,1
J. ARTHUR DOSHER MEMORIAL HOSPITAL,100,BRUNSWICK,33.92966195,-78.02159031,77194,5
BRUNSWICK COMMUNITY HOSPITAL,60,BRUNSWICK,34.00895807,-78.29090656,77194,5
NOVANT HEALTH BRUNSWICK MEDICAL CENTER,74,BRUNSWICK,34.03117,-78.26088,77194,1
CAREPARTNERS REHABILITATION HOSPITAL,80,BUNCOMBE,35.56227109,-82.53131981,61962,5
ASHEVILLE SPECIALTY HOSPITAL,34,BUNCOMBE,35.58055669,-82.54999055,61962,5
MISSION HOSPITAL AND ASHEVILLE SURGERY CENTER,763,BUNCOMBE,35.57657257,-82.54914322,61962,2
CHARLES GEORGE VA MEDICAL CENTER,-999,BUNCOMBE,35.58861379,-82.48354085,61962,4
CAROLINAS HEALTHCARE SYSTEM BLUE RIDGE,315,BURKE,35.72639117,-81.65449228,87191,1
"VALDESE GENERAL HOSPITAL, INC.",131,BURKE,35.74812386,-81.52341992,87191,5
CAROLINAS REHABILITATION - NORTHEAST,40,CABARRUS,35.44281606,-80.60084365,84131,4
ATRIUM HEALTH CABARRUS,457,CABARRUS,35.43610642,-80.60250804,84131,2
CALDWELL MEMORIAL HOSPITAL,110,CALDWELL,35.91060653,-81.53516139,56023,1
CARTERET GENERAL HOSPITAL,135,CARTERET,34.7262095,-76.75504117,81090,1
FRYE REGIONAL MEDICAL CENTER,355,CATAWBA,35.73734647,-81.33727084,41685,4
CATAWBA VALLEY MEDICAL CENTER,258,CATAWBA,35.71385557,-81.26734191,41685,1
"CHATHAM HOSPITAL, INC.",25,CHATHAM,35.7229545,-79.42085536,40769,5
ERLANGER MURPHY MEDICAL CENTER,191,CHEROKEE,35.0727129,-83.96666241,42433,4
UNITY HEALING CENTER,-999,CHEROKEE,35.48234511,-83.31854955,42433,4
VIDANT CHOWAN HOSPITAL,89,CHOWAN,36.06997928,-76.61120353,45311,1
CAROLINAS HEALTHCARE SYSTEM KINGS MOUNTAIN,102,CLEVELAND,35.24156054,-81.35705796,77819,1
CAROLINAS CONTINUECARE AT KINGS MOUNTAIN,28,CLEVELAND,35.24186511,-81.35654875,77819,4
CRAWLEY MEMORIAL HOSPITAL,60,CLEVELAND,35.24985309,-81.67641059,77819,5
ATRIUM HEALTH CLEVELAND,241,CLEVELAND,35.30290424,-81.53639421,77819,1
COLUMBUS REGIONAL HEALTHCARE SYSTEM,154,COLUMBUS,34.33773429,-78.69412409,79188,1
CAROLINA EAST HEALTH SYSTEM,350,CRAVEN,35.11340193,-77.06594289,57568,4
NAVAL HEALTH CLINIC CHERRY POINT,-999,CRAVEN,34.89516554,-76.9086764,57568,4
CAPE FEAR VALLEY MEDICAL CENTER,600,CUMBERLAND,35.03183873,-78.93305368,93707,3
HIGHSMITH-RAINEY MEMORIAL HOSPITAL,66,CUMBERLAND,35.05430317,-78.8881543,93707,5
WOMACK ARMY MEDICAL CENTER,-999,CUMBERLAND,35.14562624,-79.00217023,93707,4
VA MEDICAL CENTER - FAYETTEVILLE,-999,CUMBERLAND,35.08782262,-78.87695584,93707,4
THE OUTER BANKS HOSPITAL,21,DARE,35.9398365,-75.61764914,59769,1
LEXINGTON MEMORIAL HOSPITAL,94,DAVIDSON,35.80615015,-80.28673542,68693,5
NOVANT HEALTH THOMASVILLE MEDICAL CENTER,149,DAVIDSON,35.87988512,-80.11147956,68693,1
DAVIE COUNTY HOSPITAL,81,DAVIE,35.8993762,-80.57179142,46396,5
DAVIE MEDICAL CENTER,50,DAVIE,36.00940389,-80.44758969,46396,4
VIDANT DUPLIN HOSPITAL,101,DUPLIN,34.96527968,-77.96191331,67480,5
DUKE REGIONAL HOSPITAL,369,DURHAM,36.03679359,-78.90025454,81434,2
