NAME,Total_C_Section_Rooms
CHATHAM,
ALAMANCE,2.0
DAVIDSON,1.0
FRANKLIN,
ROBESON,1.0
LINCOLN,1.0
CALDWELL,1.0
DURHAM,2.0
PERSON,1.0
MADISON,
RANDOLPH,1.0
NORTHAMPTON,
BEAUFORT,1.0
ROWAN,2.0
CUMBERLAND,3.0
RICHMOND,1.0
HOKE,1.0
CABARRUS,2.0
CAMDEN,
STOKES,
CARTERET,1.0
ALLEGHANY,
PASQUOTANK,2.0
WILKES,1.0
ALEXANDER,
HALIFAX,
SAMPSON,
WATAUGA,1.0
SWAIN,
AVERY,
CLEVELAND,1.0
MOORE,1.0
FORSYTH,3.0
GRANVILLE,
WARREN,
PAMLICO,
CASWELL,
LENOIR,1.0
GRAHAM,
GATES,
RUTHERFORD,
WASHINGTON,
ANSON,
ORANGE,3.0
CRAVEN,1.0
WILSON,1.0
DUPLIN,
HAYWOOD,
GUILFORD,1.0
JACKSON,1.0
IREDELL,3.0
HERTFORD,1.0
POLK,
SCOTLAND,1.0
HARNETT,
LEE,1.0
BLADEN,
CHEROKEE,
CATAWBA,1.0
TYRRELL,
MACON,
PERQUIMANS,
HYDE,
GASTON,4.0
JOHNSTON,2.0
BERTIE,
STANLY,1.0
GREENE,
NEW HANOVER,3.0
PITT,4.0
PENDER,
UNION,2.0
MITCHELL,
ONSLOW,1.0
EDGECOMBE,1.0
MECKLENBURG,16.0
YANCEY,
YADKIN,
BURKE,1.0
WAYNE,1.0
DAVIE,
MCDOWELL,1.0
WAKE,11.0
CURRITUCK,
JONES,
CHOWAN,
BUNCOMBE,2.0
ROCKINGHAM,1.0
MARTIN,
HENDERSON,1.0
NASH,1.0
ASHE,
BRUNSWICK,1.0
MONTGOMERY,
VANCE,
TRANSYLVANIA,
SURRY,2.0
CLAY,
DARE,1.0
COLUMBUS,1.0
