NAME,Median_Household_Income
WASHINGTON,41750
SCOTLAND,43500
RICHMOND,43626
TYRRELL,43952
ANSON,44245
ALLEGHANY,44272
BLADEN,44528
LENOIR,44795
HALIFAX,45071
WARREN,45279
BERTIE,45931
MARTIN,46793
VANCE,46943
HYDE,47338
HERTFORD,47472
NORTHAMPTON,47935
COLUMBUS,48184
EDGECOMBE,48480
GRAHAM,49038
RUTHERFORD,49771
WILKES,50438
ASHE,50827
GREENE,50904
WATAUGA,51367
WILSON,51381
CHEROKEE,51496
DUPLIN,51880
SAMPSON,53159
MACON,53298
JACKSON,53479
CLAY,53645
YANCEY,54961
CALDWELL,55401
SWAIN,55429
MCDOWELL,55527
JONES,55659
BURKE,55684
CLEVELAND,55769
ROCKINGHAM,55796
MONTGOMERY,55849
SURRY,56095
CHOWAN,56982
AVERY,57657
BEAUFORT,57997
WAYNE,58082
MITCHELL,58089
MADISON,58628
CUMBERLAND,58780
PITT,58851
RANDOLPH,59047
CASWELL,59407
STOKES,60039
HOKE,60095
YADKIN,60321
NASH,60704
HAYWOOD,61001
POLK,61005
PERQUIMANS,61224
GATES,61612
PAMLICO,61624
STANLY,61631
DAVIDSON,62426
LEE,63060
ROWAN,63196
PASQUOTANK,63912
ALAMANCE,64445
TRANSYLVANIA,64523
CATAWBA,64544
ONSLOW,64568
CRAVEN,64635
PERSON,64927
ALEXANDER,65268
GASTON,65472
FORSYTH,65541
GUILFORD,66027
HENDERSON,67623
HARNETT,69012
CARTERET,70235
BUNCOMBE,70578
GRANVILLE,70975
FRANKLIN,71386
NEW HANOVER,72892
DAVIE,73234
BRUNSWICK,74034
PENDER,76838
LINCOLN,78490
IREDELL,78678
DURHAM,79501
JOHNSTON,79838
DARE,81214
MOORE,82837
MECKLENBURG,83765
CABARRUS,86084
CAMDEN,87781
CHATHAM,88534
ORANGE,88553
CURRITUCK,91548
UNION,99243
WAKE,101763
ROBESON,40318
